"filename", "language", "JSON", "JavaScript", "Vue", "pip requirements", "Python", "Markdown", "HTML", "XML", "CSS", "comment", "blank", "total"
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\EnjoyFood_backend\util\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\README.md", "Markdown", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 7, 33
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_Backend\requirements.txt", "pip requirements", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_task2\EnjoyFood_backend\Chose\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_task2\EnjoyFood_backend\Chose\admin.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 5, 11
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_task2\EnjoyFood_backend\Chose\apps.py", "Python", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_task2\EnjoyFood_backend\Chose\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 7, 24
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_task2\EnjoyFood_backend\Chose\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_task2\EnjoyFood_backend\Chose\models.py", "Python", 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 4, 10
"e:\StudyingFile\Computer\Database\Vue\DBMS-EnjoyFood-BUAA2022-EnjoyFood_task2\EnjoyFood_backend\Chose\tests.py", "Python", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 4
